precio_producto,costo_envio,categoria_producto,peso_producto,fotos_producto,ciudad_vendedor,estado_vendedor,estado_cliente,puntuacion_satisfaccion,comentario,dias_entrega,diferencia_estimado_real,mes_compra,anio_compra,dia_semana_compra,hora_compra,estado_orden
29.99,8.72,utilidades_domesticas,500.0,4.0,maua,SP,SP,4,"Não testei o produto ainda, mas ele veio correto e em boas condições. Apenas a caixa que veio bem amassada e danificada, o que ficará chato, pois se trata de um presente.",8.436574073974043,7.107488425914198,10,2017,1,10,delivered
118.7,22.76,perfumaria,400.0,1.0,belo horizonte,SP,BA,4,Muito bom o produto.,13.782037036959082,5.355729166883975,7,2018,2,20,delivered
159.9,19.22,automotivo,420.0,1.0,guariba,SP,GO,5,,9.394212962593883,17.245497685391456,8,2018,3,8,delivered
45.0,27.2,pet_shop,450.0,3.0,belo horizonte,MG,RN,5,O produto foi exatamente o que eu esperava e estava descrito no site e chegou bem antes da data prevista.,13.208749999757856,12.980069444514811,11,2017,6,19,delivered
19.9,8.72,papelaria,250.0,4.0,mogi das cruzes,SP,SP,5,,2.873877314850688,9.238171296194196,2,2018,2,21,delivered
147.9,27.36,automotivo,7150.0,1.0,guarulhos,SP,PR,4,,16.542245370335877,5.543113425839692,7,2017,0,21,delivered
59.99,15.17,automotivo,50.0,1.0,atibaia,SP,RJ,5,,9.989826389122754,11.461215277668089,5,2017,2,13,delivered
19.9,16.05,moveis_decoracao,300.0,2.0,sao jose do rio pardo,SP,RS,1,,9.818761574104428,31.410995370242745,1,2017,1,18,delivered
149.99,19.77,moveis_escritorio,9750.0,1.0,itaquaquecetuba,SP,SP,5,,18.221851851791143,6.281597222201526,7,2017,6,11,delivered
99.0,30.53,ferramentas_jardim,9000.0,1.0,cariacica,ES,RJ,1,Aguardando retorno da loja,12.65093749994412,8.52880787057802,5,2017,2,19,delivered
99.0,30.53,ferramentas_jardim,9000.0,1.0,cariacica,ES,RJ,1,Aguardando retorno da loja,12.65093749994412,8.52880787057802,5,2017,2,19,delivered
98.0,16.13,informatica_acessorios,325.0,1.0,porto alegre,RS,SP,4,,5.754594907164574,19.41333333356306,7,2017,4,19,delivered
31.9,18.23,perfumaria,450.0,1.0,ribeirao preto,SP,MG,5,,12.083020833320916,28.495925926137716,6,2018,4,10,delivered
19.9,12.8,cama_mesa_banho,200.0,1.0,ibitinga,SP,SP,5,,4.922395833302289,8.338599537033588,7,2018,3,17,delivered
38.25,16.11,brinquedos,583.0,2.0,itajai,SP,SP,4,Gostei do produto,11.39025462931022,8.016365740913898,3,2018,4,14,delivered
132.4,14.05,perfumaria,150.0,3.0,brasilia,DF,GO,5,Obrigado pela atenção. Lojas lannister perfeito em tudo.,13.855092592537403,12.351018518675119,6,2018,4,19,delivered
27.99,15.1,telefonia,300.0,6.0,sao paulo,SP,SC,5,,12.954918981529772,20.057916666846722,12,2017,2,23,delivered
17.9,11.85,cama_mesa_banho,250.0,1.0,ibitinga,SP,SP,5,,6.766886573750526,13.230555555783212,11,2017,2,0,delivered
76.0,16.97,telefonia,325.0,1.0,jacarei,SP,BA,4,,13.269143518526107,14.06805555569008,10,2017,4,15,delivered
109.9,8.96,beleza_saude,525.0,6.0,sao paulo,SP,SP,2,"os correios estäo em greve... näo recebi nenhum aviso de atraso, mas de qqer forma a empresa responsável deveria dar alguma resposta sobre o atraso.",21.327962963376194,-11.933171296492219,9,2017,1,14,delivered
79.99,8.91,beleza_saude,250.0,3.0,santo andre,SP,SP,5,,4.386018518358469,9.244074074085802,3,2018,4,8,delivered
9.5,7.78,eletronicos,200.0,1.0,sao paulo,SP,SP,3,,4.816793981473893,12.323773148003966,2,2018,6,20,delivered
